x,y
7.164727441628502e-17,1.1700887874964219
-0.8949797906328265,0.8949797906328266
-1.369107770624847,1.6766734489834875e-16
-1.047205818055366,-1.0472058180553656
-2.942785204422799e-16,-1.6019776512823565
1.2253237859076012,-1.2253237859076018
1.8744560875853382,-4.59109329560731e-16
1.433737622943151,1.4337376229431504
6.714983484425137e-16,2.1932800507380152
-1.6776003168175513,1.6776003168175553
-2.566332395208135,9.428552260019409e-16
-1.9629413206086639,-1.9629413206086659
4.0470145677930064e-15,-3.002836760621876
2.2968156297576225,-2.2968156297576128
3.513585624285735,1.0761603153712056e-14
2.6874782153259122,2.6874782153259336
